id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,GB.ENG.AB.03.Gen.ReEx.001.001,0,0,2013-12-17,,Typology,GB,1,Refurbishment,GB.ENG.AB.03.Gen.ReEx.001,As built,As built,GB.ENG.AB.03.Gen,ReEx,AB,GB.03,1945,1964,Residential,8110.5,0,0,3361.7,0,0,0,59,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,316.5,0,2027.58,0,0,316.5,0,714.3,0,7.6,0,361.61,0,352.69,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,GB.Roof.ReEx.01.02,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.1,0.1,0.2,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,GB.ENG.AB.03.Gen.ReEx.001.002,0,0,2013-12-17,,Typology,GB,2,Refurbishment,GB.ENG.AB.03.Gen.ReEx.001,Standard refurbishment,roof insulation+wall insulation+ window change,GB.ENG.AB.03.Gen,ReEx,AB,GB.03,1945,1964,Residential,8110.5,0,0,3361.7,0,0,0,59,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,316.5,0,2027.58,0,0,316.5,0,714.3,0,7.6,0,361.61,0,352.69,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,GB.Roof.ReEx.01.02,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.1,0.1,0.1,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.solidwallinsulation.02,0,0,0,0,GB.Window.DoubleGlazing.01,0,GB.Door.PVCDoor.01,7.6923075,0,3.3333333,0,0,0,0,0.45454547,0,0.5555556,0.72,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,GB.ENG.AB.03.Gen.ReEx.001.003,0,0,2013-12-17,,Typology,GB,3,Refurbishment,GB.ENG.AB.03.Gen.ReEx.001,ambitious refurbishment,roof insulation+wall insulation+ window change+ door change,GB.ENG.AB.03.Gen,ReEx,AB,GB.03,1945,1964,Residential,8110.5,0,0,3361.7,0,0,0,59,11,,FR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,316.5,0,2027.58,0,0,316.5,0,714.3,0,7.6,0,361.61,0,352.69,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,GB.Roof.ReEx.01.02,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.1,0.1,0.1,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.solidwallinsulation.02,0,0,0,0,GB.Window.DoubleGlazing.02,0,GB.Door.PVCDoor.01,7.6923075,0,3.3333333,0,0,0,0,0.625,0,0.5555556,0.7,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,GB.ENG.AB.04.Gen.ReEx.001.001,0,0,2013-11-07,,Typology,GB,1,Refurbishment,GB.ENG.AB.04.Gen.ReEx.001,As built,As built,GB.ENG.AB.04.Gen,ReEx,AB,GB.04,1965,1980,Residential,10355.74,0,0,4357.13,0,0,0,69,13,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,360.13,0,2250.57,0,0,360.13,0,912.41,0,7.6,0,455.64,0,456.77,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,GB.Roof.ReEx.04.04,0,GB.Wall.ReEx.04.01,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.04.02,0,GB.Door.ReEx.04.02,,,,,,,,0.1,0.1,0.2,1.5,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,GB.ENG.AB.04.Gen.ReEx.001.002,0,0,2013-11-07,,Typology,GB,2,Refurbishment,GB.ENG.AB.04.Gen.ReEx.001,Standard refurbishment,roof insulation+cavity insulation,GB.ENG.AB.04.Gen,ReEx,AB,GB.04,1965,1980,Residential,10355.74,0,0,4357.13,0,0,0,69,13,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,360.13,0,2250.57,0,0,360.13,0,912.41,0,7.6,0,455.64,0,456.77,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,GB.Roof.ReEx.04.04,0,GB.Wall.ReEx.04.01,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.04.02,0,GB.Door.ReEx.04.02,,,,,,,,0.1,0.1,0.1,1.5,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.CavityWallInsulation(Brick).01,0,0,0,0,0,0,0,7.6923075,0,1.6666666,0,0,0,0,0,0,0,0,0,0.25,0,0.065,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,GB.ENG.AB.04.Gen.ReEx.001.003,0,0,2013-11-07,,Typology,GB,3,Refurbishment,GB.ENG.AB.04.Gen.ReEx.001,ambitious refurbishment,roof insulation+cavity insulation,GB.ENG.AB.04.Gen,ReEx,AB,GB.04,1965,1980,Residential,10355.74,0,0,4357.13,0,0,0,69,13,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,360.13,0,2250.57,0,0,360.13,0,912.41,0,7.6,0,455.64,0,456.77,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,GB.Roof.ReEx.04.04,0,GB.Wall.ReEx.04.01,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.04.02,0,GB.Door.ReEx.04.02,,,,,,,,0.1,0.1,0.1,1.5,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.CavityWallInsulation(Brick).01,0,0,0,0,GB.Window.DoubleGlazing.02,0,0,7.6923075,0,1.6666666,0,0,0,0,0.625,0,0,0.7,0,0.25,0,0.065,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,GB.ENG.AB.07.Gen.ReEx.001.001,0,0,2013-11-07,,Typology,GB,1,Variation,GB.ENG.AB.07.Gen.ReEx.001,As built,As built,GB.ENG.AB.07.Gen,ReEx,AB,GB.07,2004,2009,Residential,9589.8,0,0,4045.11,0,0,0,59,9,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,460.86,0,1691.54,0,0,460.86,0,764.86,0,7.6,0,392.71,0,372.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,GB.Roof.ReEx.07.10,0,GB.Wall.ReEx.07.04,0,0,GB.Floor.ReEx.07.05,0,GB.Window.ReEx.07.03,0,GB.Door.ReEx.04.02,,,,,,,,0.05,0.05,0.1,0.25,0,0.28,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,GB.ENG.AB.07.Gen.ReEx.001.002,0,0,2013-11-07,,Typology,GB,2,Variation,GB.ENG.AB.07.Gen.ReEx.001,Standard refurbishment,Standard refurbishment,GB.ENG.AB.07.Gen,ReEx,AB,GB.07,2004,2009,Residential,9589.8,0,0,4045.11,0,0,0,59,9,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,460.86,0,1691.54,0,0,460.86,0,764.86,0,7.6,0,392.71,0,372.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,GB.Roof.ReEx.07.10,0,GB.Wall.ReEx.07.04,0,0,GB.Floor.ReEx.07.05,0,GB.Window.ReEx.07.03,0,GB.Door.ReEx.04.02,,,,,,,,0.05,0.05,0.1,0.25,0,0.28,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,GB.ENG.AB.07.Gen.ReEx.001.003,0,0,2013-11-07,,Typology,GB,3,Variation,GB.ENG.AB.07.Gen.ReEx.001,ambitious refurbishment,Standard refurbishment,GB.ENG.AB.07.Gen,ReEx,AB,GB.07,2004,2009,Residential,9589.8,0,0,4045.11,0,0,0,59,9,,FR,,NI,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,460.86,0,1691.54,0,0,460.86,0,764.86,0,7.6,0,392.71,0,372.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,GB.Roof.ReEx.07.10,0,GB.Wall.ReEx.07.04,0,0,GB.Floor.ReEx.07.05,0,GB.Window.ReEx.07.03,0,GB.Door.ReEx.04.02,,,,,,,,0.05,0.05,0.1,0.25,0,0.28,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,GB.Window.DoubleGlazing.02,0,0,0,0,0,0,0,0,0,0.625,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,Replace,,0,,0,1,1,1,0,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,GB.ENG.MFH.01.Gen.ReEx.001.001,0,0,2013-11-07,,Typology,GB,1,Refurbishment,GB.ENG.MFH.01.Gen.ReEx.001,As built,As built,GB.ENG.MFH.01.Gen,ReEx,MFH,GB.01,0,1918,Residential,1137.09,0,0,425,0,0,0,6,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,149.11,0,233.3,0,0,149.11,0,69.79,0,1.9,0,37.56,0,32.22,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,GB.Roof.ReEx.01.01,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.15,0.1,0.2,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
11,GB.ENG.MFH.01.Gen.ReEx.001.002,0,0,2013-11-07,,Typology,GB,2,Refurbishment,GB.ENG.MFH.01.Gen.ReEx.001,Standard refurbishment,roof insulation+wall insulation+ window change,GB.ENG.MFH.01.Gen,ReEx,MFH,GB.01,0,1918,Residential,1137.09,0,0,425,0,0,0,6,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,149.11,0,233.3,0,0,149.11,0,69.79,0,1.9,0,37.56,0,32.22,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Low,GB.Roof.ReEx.01.01,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.15,0.1,0.1,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.solidwallinsulation.02,0,0,0,0,GB.Window.DoubleGlazing.01,0,0,7.6923075,0,3.3333333,0,0,0,0,0.45454547,0,0,0.72,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
12,GB.ENG.MFH.01.Gen.ReEx.001.003,0,0,2013-11-07,,Typology,GB,3,Refurbishment,GB.ENG.MFH.01.Gen.ReEx.001,ambitious refurbishment,roof insulation+wall insulation+ window change+ door change,GB.ENG.MFH.01.Gen,ReEx,MFH,GB.01,0,1918,Residential,1137.09,0,0,425,0,0,0,6,3,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Standard,0,149.11,0,233.3,0,0,149.11,0,69.79,0,1.9,0,37.56,0,32.22,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Low,GB.Roof.ReEx.01.01,0,GB.Wall.ReEx.01.02,0,0,GB.Floor.ReEx.01.03,0,GB.Window.ReEx.01.01,0,GB.Door.ReEx.02.01,,,,,,,,0.15,0.1,0.1,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0.5,0,1,0,GB.Roof.InsulationAbove150mm.01,0,GB.Wall.solidwallinsulation.02,0,0,0,0,GB.Window.DoubleGlazing.02,0,GB.Door.PVCDoor.01,7.6923075,0,3.3333333,0,0,0,0,0.625,0,0.5555556,0.7,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,0,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,GB.Temperate,England ,243,12,7.4,392,257,403,257,149,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
